code,name,industry,close_price,ytd_yoy,3m_smooth,6m_smooth,revenue_date
5258,虹堡,電腦及週邊設備業,72.9,-0.15521245389462646,-1.1738582402510134,-1.9523715781889255,2025-12-10
5269,祥碩,半導體業,1185.0,59.21130973856739,56.688045503894465,49.07009607087172,2025-12-10
5283,禾聯碩,電器電纜,61.6,0.3936729278479545,0.30333074150631995,2.099731237952429,2025-12-10
5284,jpp-KY,其他業,284.0,55.96269757876169,55.76949576717694,55.66870750163971,2025-12-10
5285,界霖,半導體業,49.0,5.739126839886732,6.0569201698046955,6.957282205005819,2025-12-10
5288,豐祥-KY,電機機械,131.5,-5.928512570166699,-5.063513521645099,-4.86113751482002,2025-12-10
5292,華懋,綠能環保,147.0,26.53385409010418,30.11688980259073,33.62569795756083,2025-12-10
5306,桂盟,運動休閒,88.5,-3.2452484944180404,-2.5144169334199113,0.24764631197138964,2025-12-10
5388,中磊,通信網路業,81.5,-6.318924267834802,-8.040083441381867,-11.47211282004429,2025-12-10
5434,崇越,電子通路業,297.5,19.973267531109506,21.59696371424325,24.391412309189864,2025-12-10
5469,瀚宇博,電子零組件業,94.8,34.159280426524404,32.68983395138245,31.56657783111159,2025-12-10
5471,松翰,半導體業,33.0,-1.0197251614018965,-0.6903107806406398,-0.001343577362407829,2025-12-10
5484,慧友,光電業,38.0,-8.724123110718462,-12.059642611758548,-19.36982683293494,2025-12-10
5515,建國,建材營造業,36.15,30.24863632392334,32.89351103638564,34.45015893563493,2025-12-10
5519,隆大,建材營造業,33.2,-6.392380881234905,5.179679071183737,-8.225823944787797,2025-12-10
5521,工信,建材營造業,20.85,30.41945308781646,33.52995724341781,41.5455010993251,2025-12-10
5522,遠雄,建材營造業,76.4,-0.4079511773119382,-31.056844070747953,-54.02540445817451,2025-12-10
5525,順天,建材營造業,28.4,-83.44595746225609,-86.03523878364992,-85.65472553966016,2025-12-10
5531,鄉林,建材營造業,9.19,113.46538337746436,117.73142843802104,282.78657064685973,2025-12-10
5533,皇鼎,建材營造業,14.3,-50.02566465704356,-47.06484790293653,-20.292891692551866,2025-12-10
5534,長虹,建材營造業,85.0,-33.08012021775654,-38.16197429538669,-38.18503330901612,2025-12-10
5538,東明-KY,鋼鐵工業,29.95,3.2096407056504184,4.180932625156859,6.36506246195889,2025-12-10
5546,永固-KY,建材營造業,22.45,-27.5059887580125,-25.4741595757159,-23.770314705998327,2025-12-10
5607,遠雄港,航運業,48.5,18.45811517329672,18.06661450304925,16.97050607386623,2025-12-10
5608,四維航,航運業,17.95,-6.944937900007164,-6.812611116266382,-5.2730872144971785,2025-12-10
5706,鳳凰,觀光餐旅,50.3,2.5801888162767295,5.410588700611989,8.417455536993183,2025-12-10
5871,中租-KY,其他業,110.0,-4.3960406813092545,-4.310251056600725,-3.8215998258626827,2025-12-10
5876,上海商銀,銀行業,41.15,6.608756075448752,6.268701598463555,6.603704581222406,2025-12-10
5880,合庫金,金控業,24.75,9.830036282757959,8.564679058436404,7.95061222604702,2025-12-10
5906,台南-KY,貿易百貨業,,-8.977359547631835,-10.30479641878783,-10.874078420736884,2025-12-10
5907,大洋-KY,貿易百貨業,5.72,-14.941054690271793,-15.00683033236348,-15.05252361987886,2025-12-10
6005,群益證,證券業,24.85,8.832279112906116,7.683764395398114,4.476749221643888,2025-12-10
6024,群益期,證券業,51.4,12.966260256115337,13.967249911357145,17.610457396549034,2025-12-10
6108,競國,電子零組件業,14.3,-19.526630382378862,-20.552209604924006,-22.87004668204557,2025-12-10
6112,邁達特,資訊服務業,46.5,18.26123556331176,18.692770023754235,17.12405161290815,2025-12-10
6115,鎰勝,電子零組件業,47.5,2.6466900804254845,2.3899794828825836,2.2842736903043677,2025-12-10
6116,彩晶,光電業,7.45,15.714926228323932,17.314554549956398,19.59202437735412,2025-12-10
6117,迎廣,電腦及週邊設備業,79.9,12.83788074423724,12.552720693483431,11.16654230598423,2025-12-10
6120,達運,光電業,12.95,-18.116350852480945,-18.023815777919,-16.614626665555562,2025-12-10
6128,上福,電腦及週邊設備業,22.95,-4.436812982073601,-3.94065191758896,-3.189859343153356,2025-12-10
6133,金橋,電子零組件業,21.35,16.332443164744582,14.351632427064084,13.837826569023411,2025-12-10
6136,富爾特,通信網路業,24.2,25.534992343190833,26.111977246791355,23.03164983084299,2025-12-10
6139,亞翔,其他電子業,604.0,1.5798330811901407,-5.505913441552299,-16.75553055654115,2025-12-10
6141,柏承,電子零組件業,11.25,-23.008058498606275,-25.034278922352343,-27.302549551127573,2025-12-10
6142,友勁,通信網路業,9.41,55.92138342819233,64.01091286868149,74.06679070921629,2025-12-10
6152,百一,通信網路業,10.35,-29.341445457964856,-32.11503141370288,-32.92508308407291,2025-12-10
6153,嘉聯益,電子零組件業,15.0,-26.157152023703233,-25.747064810082986,-25.623975031930243,2025-12-10
6155,鈞寶,電子零組件業,42.8,10.29344475697609,11.212507242519363,13.227299179485145,2025-12-10
6164,華興,光電業,12.55,-6.59165121903198,-6.575607712319702,-5.656253681273789,2025-12-10
6165,浪凡,數位雲端,46.1,12.487658706561833,12.425538801985482,11.042648875692647,2025-12-10
6166,凌華,電腦及週邊設備業,65.1,20.223010145267995,19.994231614404786,19.179106327587764,2025-12-10
6168,宏齊,光電業,19.6,3.7902138413528963,3.6216159195397566,3.077795681269722,2025-12-10
6176,瑞儀,光電業,121.5,-1.5542594083307715,1.242080846856058,5.218707613744546,2025-12-10
6177,達麗,建材營造業,49.75,-79.10097208673592,-76.71946502142988,-79.27752696864697,2025-12-10
6183,關貿,資訊服務業,95.7,7.9100877487140675,8.699727123030934,9.302328773387266,2025-12-10
6184,大豐電,其他業,48.7,2.003037890295034,2.213068572519387,2.276028835016316,2025-12-10
6189,豐藝,電子通路業,45.2,-20.532558684373015,-21.211036257094932,-21.676591908245744,2025-12-10
