"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="912000","晨訊科-DR","市","11/19","2.86","-0.01","-0.35","0.1","10.6","15.88","4.54","21.1","14.6","","","","","","","存託憑證","王祖同","朱琪"
="9136","巨騰-DR","市","11/19","6.88","-0.07","-1.01","0.1","4.41","16","11","21.4","16.5","","","","","","","存託憑證","鄭立育","N/A"
="9802","鈺齊-KY","市","11/19","106.5","+2","+1.91","10","20.1","20.1","214","16","13.1","","","有","有","","","運動休閒","林文智","廖芳祝"
="9902","台火","市","11/19","16.35","-0.2","-1.21","10","9.8","9.8","16","75.8","61.4","","","","","","","其他業","李泰祺","陳文正"
="9904","寶成","市","11/19","29.4","+0.3","+1.03","10","295","294.7","866","56.2","35.8","有","","有","","","","運動休閒","吳邦治","盧金柱"
="9905","大華","市","11/19","19.9","0","0","10","30.5","30.5","60.7","52","35.3","","","","","","","其他業","姜明理","姜明德"
="9906","欣巴巴","市","11/19","44.75","0","0","10","9.04","9.04","40.4","58.8","34.9","","","有","有","","","建材營造業","黃〝火冏〞輝","張宏圖"
="9907","統一實","市","11/19","17.8","-0.1","-0.56","10","158","157.9","281","56.6","34.8","","","有","","","","其他業","羅智先","徐金成；張祐信"
="9908","大台北","市","11/19","30.1","0","0","10","51.6","51.64","155","61.1","34.8","","","","","","","油電燃氣業","吳東進","鄭嘉耘"
="9910","豐泰","市","11/19","128.5","+2.5","+1.98","10","98.7","98.75","1,269","54.3","33.8","","","","","","","運動休閒","王建弘","陳昭吉"
="9911","櫻花","市","11/19","82.5","-0.5","-0.6","10","22.2","22.24","183","37.1","33.3","","","","","","","居家生活","張永杰","李惠恂"
="9912","偉聯","市","11/19","11.95","-0.1","-0.83","10","5.42","5.42","6.47","47.5","33.3","","","","","","","電腦及週邊設備業","皮華中","趙欣媛"
="9914","美利達","市","11/19","88.7","+0.3","+0.34","10","29.9","29.9","265","53.1","33.1","有","","有","","","","運動休閒","曾崧柱","曾上原"
="9917","中保科","市","11/19","105.5","-0.5","-0.47","10","45.1","45.12","476","48","32","","","","","","","其他業","林建涵","林建涵"
