"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1463","強盛新","市","11/19","18.7","-0.05","-0.27","10","17.3","17.33","32.4","42.1","29","","","","","","","紡織纖維","成漢傑","張士志"
="1464","得力","市","11/19","10.7","-0.1","-0.93","10","42.6","42.56","45.5","43.4","28.8","","","有","","","","紡織纖維","葉家銘","游逸能"
="1465","偉全","市","11/19","12.8","-0.15","-1.16","10","10.4","10.36","13.3","53","28.2","","","","","","","紡織纖維","陳建柱","陳建柱"
="1466","聚隆","市","11/19","14.45","+0.35","+2.48","10","11.1","11.12","16.1","37.3","27.6","","","","","","","紡織纖維","周文東","周文東"
="1467","南緯","市","11/19","7","-0.02","-0.28","10","23.4","23.36","16.4","47.3","26.9","","","","","有","","紡織纖維","林瑞岳","林宗頤"
="1468","昶和","市","11/19","11.3","-0.05","-0.44","10","16","16.04","18.1","43.6","26.8","","","","","","","紡織纖維","陳明澤","陳明澤"
="1470","大統新創","市","11/19","22.5","+0.65","+2.97","10","8.58","8.58","19.3","38.9","26.5","","","","","","","紡織纖維","葉泉發","葉柏亮"
="1471","首利","市","11/19","8.45","-0.11","-1.29","10","15","15.04","12.7","43.1","26.6","","","","","有","","電子零組件業","鄭傑","鄭翔"
="1472","三洋實業","市","11/19","91.8","+0.9","+0.99","10","5.25","5.25","48.2","57.1","26.8","","","","有","有","","建材營造業","蔣玉蓮","徐正哲"
="1473","台南","市","11/19","24.65","+0.4","+1.65","10","14.6","14.62","36","64.2","25.2","","","","","","","紡織纖維","楊青峯","蘇炯忠"
="1474","弘裕","市","11/19","11.7","+0.15","+1.3","10","13","12.99","15.2","55.2","26.4","","","","有","","","紡織纖維","葉博宇","郭正沛"
="1475","業旺","市","11/19","37.15","+0.35","+0.95","10","6.6","6.6","24.5","35","25.1","","","","","","","紡織纖維","陳清土","陳坤木"
="1476","儒鴻","市","11/19","432.5","+6.5","+1.53","10","27.4","27.44","1,187","48","24.6","有","","有","","","","紡織纖維","王樹文","洪瑞廷"
="1477","聚陽","市","11/19","311","+13","+4.36","10","24.7","24.67","767","35.9","22.8","有","","有","","","","紡織纖維","周理平","周心鵬"
="1503","士電","市","11/19","162.5","+0.5","+0.31","10","52.1","52.1","847","70","55.9","有","","有","","","","電機機械","許育瑞","郭約瑟、程相智"
="1504","東元","市","11/19","93","-0.8","-0.85","10","238","237.6","2,210","69.4","52","有","","有","有","","","電機機械","利明献","高飛鳶"
="1506","正道","市","11/19","11.85","0","0","10","30","30.04","35.6","60.7","45.3","","","","","有","","電機機械","謝麗雲","羅仕溢"
="1512","瑞利","市","11/19","7.92","+0.04","+0.51","10","9.82","9.82","7.78","55.4","31.8","","","","","有","","汽車工業","吳明燦","林維輝"
="1513","中興電","市","11/19","150","+3","+2.04","10","50.3","50.31","755","69.6","31.7","有","","有","有","","","電機機械","江馥年","郭慧娟"
="1514","亞力","市","11/19","95.2","-1.1","-1.14","10","27.3","27.31","260","57.2","31.7","","","有","有","","","電機機械","慧德實業有限公司代表人宋和業","鄭朝彬"
="1515","力山","市","11/19","26.85","-0.65","-2.36","10","18.1","18.15","48.7","52.6","30.8","","","","","","","電機機械","王冠祥","羅政洲"
="1516","川飛","市","11/19","18.4","+0.35","+1.94","10","4","4","7.36","39.7","30.6","","","","","","","其他業","謝縈俞","陳郁嵐"
="1517","利奇","市","11/19","10.95","-0.4","-3.52","10","22.3","22.33","24.5","52.5","30.6","","","","","","","電機機械","林育新","林宜賢"
="1519","華城","市","11/19","750","+43","+6.08","10","31.6","31.59","2,369","56.2","28.6","","","有","","","","電機機械","許邦福","許逸德/許逸晟(執行長)"
="1521","大億","市","11/19","24","-0.1","-0.41","10","7.62","7.62","18.3","49.8","28.1","","","","","","","汽車工業","吳俊億","莊智清"
="1522","堤維西","市","11/19","47.65","+0.8","+1.71","10","34.3","31.29","149","39.2","28.1","","","有","","","有","汽車工業","吳國禎","蘇彥碩"
"1522A","堤維西甲特","市","11/19","49.05","-0.45","-0.91","","","3","14.7","","4.28","","","","","","","汽車工業","",""
="1524","耿鼎","市","11/19","29.1","-0.1","-0.34","10","16.5","16.53","48.1","39.7","27.1","","","","","","","汽車工業","李茂源","李茂源"
="1525","江申","市","11/19","63.4","-1","-1.55","10","7.34","7.34","46.5","62.5","26.5","","","","","","","汽車工業","熊東台","曾火冏誌"
="1526","日馳","市","11/19","16.7","-0.45","-2.62","10","6","6","10","53.5","25.7","","","","有","","","電機機械","徐義雄","徐義雄"
="1527","鑽全","市","11/19","32.7","-0.25","-0.76","10","13.9","13.86","45.3","42.4","26.9","","","","","","","電機機械","賴伯彥先生","賴伯峰先生"
="1528","恩德","市","11/19","14.2","-0.5","-3.4","10","19.1","19.13","27.2","53.3","27.7","","","","","","","電機機械","廖文嘉","李明哲"
="1529","樂事綠能","市","11/19","18.5","-0.35","-1.86","10","15.5","15.51","28.7","47.5","26.9","","","","","","","電機機械","陳介仁","陳連聰"
="1530","亞崴","市","11/19","26.8","+0.2","+0.75","10","9.46","9.46","25.4","39.3","25.2","","","","","","","電機機械","楊丞鈞","楊昌熾 代理"
="1531","高林股","市","11/19","11.5","+0.05","+0.44","10","18.2","18.21","20.9","60.1","26.5","","","","","","","電機機械","林陳雅子","林培嘉"
="1532","勤美","市","11/19","25.6","+0.4","+1.59","10","42.3","42.26","108","53.2","25.2","","","有","","","","電機機械","林廷芳","林靖誼/麥聖偉"
="1533","車王電","市","11/19","31.2","-0.6","-1.89","10","9.85","9.85","30.7","43.3","24.6","","","","","","","汽車工業","蔡裕慶","蔡裕慶"
="1535","中宇","市","11/19","54.2","-0.1","-0.18","10","12.4","12.37","67.1","32.7","25.9","","","","有","","","電機機械","謝英斌","江永裕"
="1536","和大","市","11/19","56","0","0","10","27.9","27.9","156","52.8","25.6","有","","有","","","","汽車工業","沈千慈","陳俊智"
="1537","廣隆","市","11/19","121.5","0","0","10","8.21","8.21","99.7","35.8","23.8","","","","有","","","電機機械","李瑞勳","楊瑞祥"
="1538","正峰","市","11/19","25.3","0","0","10","3.23","3.23","8.17","49.6","26.9","","","","","有","","電機機械","陳永倫","陳永倫"
="1539","巨庭","市","11/19","16.85","+0.2","+1.2","10","6.54","6.54","11","44.3","24.5","","","","","","","電機機械","莊博彥","張永和"
="1540","喬福","市","11/19","21.15","-0.4","-1.86","10","8.55","8.55","18.1","41.3","26.6","","","","","","","電機機械","林聖明","詹正淦"
="1541","錩泰","市","11/19","23.55","-0.45","-1.88","10","7.88","7.88","18.6","36.6","22.7","","","","","","","電機機械","張經金","張經金"
="1558","伸興","市","11/19","97.3","-0.2","-0.21","10","6.65","6.65","64.7","50.9","17.9","","","","","","","電機機械","林志誠","劉棟樑"
="1560","中砂","市","11/19","297","-1","-0.34","10","14.7","14.63","434","61.4","20.8","","","有","","","","電機機械","林伯全","謝榮哲"
="1563","巧新","市","11/19","41.05","-1.05","-2.49","10","23.1","23.08","94.7","31.4","1.52","","","有","","","","汽車工業","黃聰榮","黃聰榮"
="1568","倉佑","市","11/19","21.15","-0.15","-0.7","10","10.3","10.31","21.8","40.8","11.5","","","","","","","汽車工業","蘇祈澤","蘇祈祜"
="1582","信錦","市","11/19","64.7","-0.7","-1.07","10","14.4","14.43","93.3","46.4","18.9","","","有","有","","","電子零組件業","陳秋郎","陳秋郎"
="1583","程泰","市","11/19","43.05","-0.75","-1.71","10","10.9","10.94","47.1","50.1","17.8","","","","","","","電機機械","楊舒涵","楊舒涵"
="1587","吉茂","市","11/19","40.75","+0.1","+0.25","10","8.01","8.01","32.6","41.2","7.6","","","","","","","汽車工業","劉彥狄","劉彥狄"
="1589","永冠-KY","市","11/19","17.05","-0.3","-1.73","10","15.3","15.31","26.1","17.8","13.6","","","","有","","","電機機械","張賢銘","李熔"
="1590","亞德客-KY","市","11/19","894","-16","-1.76","10","20","20","1,788","16.2","14.9","有","","有","","","","電機機械","王世忠","李懷文"
="1597","直得","市","11/19","70.5","0","0","10","8.93","8.93","62.9","27.1","12.9","","","有","","","","電機機械","陳麗芬","許明哲"
="1598","岱宇","市","11/19","21.9","-0.4","-1.79","10","17.9","17.91","39.2","35.5","9.17","","","","","","","運動休閒","林佑穎","陳明男"
="1603","華電","市","11/19","36.8","-0.15","-0.41","10","19.2","19.17","70.5","64.7","57.5","","","","","","","電器電纜","陳亮吟","陳鶴原"
="1604","聲寶","市","11/19","24.35","-0.05","-0.2","10","38.4","38.42","93.6","63.2","54.9","","","","","","","電器電纜","財團法人陳茂榜工商發展基金會","許經朝"
="1605","華新","市","11/19","29.05","-1.3","-4.28","10","443","443.1","1,287","59","53","有","有","有","有","","","電器電纜","焦佑倫","潘文虎"
="1608","華榮","市","11/19","34.15","-0.35","-1.01","10","63.3","63.28","216","68.9","37.4","有","","有","","","","電器電纜","王宏仁","黃華志"
="1609","大亞","市","11/19","37.85","-0.25","-0.66","10","78.5","78.53","297","63","36.9","有","","有","有","","","電器電纜","沈尚弘","沈尚宜"
="1611","中電","市","11/19","12.1","0","0","10","32.3","32.27","39.1","70.8","35.8","","","","","","","電器電纜","廖銘輝","吳一麟代理"
="1612","宏泰","市","11/19","34.1","-0.2","-0.58","10","31.6","31.61","108","57.3","32.5","","","有","","","","電器電纜","久疆投資股份有限公司","黎文斌"
="1614","三洋電","市","11/19","33.85","+0.1","+0.3","10","26.9","26.91","91.1","62.8","28.2","","","","","","","電器電纜","李文峰","李文琳"
="1615","大山","市","11/19","47.35","-0.1","-0.21","10","19.7","19.67","93.1","51.6","27.6","","","有","","","","電器電纜","蘇文彬","蘇文彬"
="1616","億泰","市","11/19","29.1","+0.05","+0.17","10","19.4","19.41","56.5","37.7","28.5","","","有","","","","電器電纜","王銀河","張程浩(代理)"
="1617","榮星","市","11/19","14.4","-0.45","-3.03","10","17","16.95","24.4","54.3","27.6","","","","有","","","電器電纜","王東澤","邱守基"
="1618","合機","市","11/19","40.6","-0.4","-0.98","10","19.3","19.27","78.2","36.7","25.2","","","有","","","","電器電纜","李新政","郭晉勳"
="1626","艾美特-KY","市","11/19","11.75","-0.25","-2.08","10","15","14.98","17.6","21.7","12.7","","","","","","","電器電纜","史瑞斌","史瑞斌"
="1702","南僑","市","11/19","37.55","-0.3","-0.79","10","29.4","29.41","110","75.4","52.5","","","有","有","","","食品工業","陳飛龍","李勘文"
="1707","葡萄王","市","11/19","126","-1","-0.79","10","14.8","14.81","187","54.6","42.9","有","","","","","","生技醫療業","曾盛麟","曾盛麟"
="1708","東鹼","市","11/19","31.45","-0.4","-1.26","10","24.9","24.9","78.3","68.7","39.4","","","有","","","","化學工業","陳榮元","劉志勇"
="1709","和益","市","11/19","16.6","0","0","10","47.7","47.7","79.2","52.4","39.4","","","","有","","","化學工業","黃勝材","李宏德"
="1710","東聯","市","11/19","11.75","-0.15","-1.26","10","88.6","88.57","104","49.9","38.1","","","有","","","","化學工業","徐旭東","蔡錫津"
="1711","永光","市","11/19","17.75","-0.15","-0.84","10","54.8","54.78","97.2","53.2","36.9","","","有","","","","化學工業","陳建信","陳偉望"
="1712","興農","市","11/19","41.75","-0.15","-0.36","10","42","42.05","176","62","35.9","","","","","","","化學工業","顏子芳","李乾珉"
="1713","國化","市","11/19","43.85","-0.25","-0.57","10","15.1","15.1","66.2","62.9","35.8","","","","","","","化學工業","應柔爾","洪志成"
="1714","和桐","市","11/19","8.12","-0.05","-0.61","10","99.2","99.18","80.5","45.3","34.2","","","","","","","化學工業","張立秋","陳怡如"
="1717","長興","市","11/19","39.1","-0.3","-0.76","10","117","117.2","458","61","31.6","有","","","有","","","化學工業","高國倫","毛惠寬"
="1718","中纖","市","11/19","6.77","-0.07","-1.02","10","169","168.6","114","70.5","62","有","","","","","","化學工業","王貴賢","王皆誼"
="1720","生達","市","11/19","62.9","+1","+1.62","10","17.9","17.87","112","58.4","29.9","","","有","","","","生技醫療業","范滋庭","范滋庭"
="1721","三晃","市","11/19","10.85","-0.25","-2.25","10","18.5","18.49","20.1","50.9","29.5","","","","","有","","化學工業","黃亭棣","張俊彬"
="1722","台肥","市","11/19","47.05","-0.35","-0.74","10","98","98","461","79.6","27.7","有","","","","","","化學工業","張滄郎","張滄郎"
="1723","中碳","市","11/19","77.3","-1.6","-2.03","10","23.7","23.69","183","36.8","27","","","","","","","化學工業","黃建智","方明達"
="1725","元禎","市","11/19","27.65","+2.5","+9.94","10","18.2","18.18","50.3","48.3","25.2","","","","","","","化學工業","許元禎","姚永康"
="1726","永記","市","11/19","75.3","0","0","10","16.2","16.2","122","68.5","27.4","","","","","","","化學工業","張德仁","張豐利"
="1727","中華化","市","11/19","38.8","+0.95","+2.51","10","12.5","12.54","48.6","69.1","25.2","","","","有","","","化學工業","干文元","干凱恩"
="1730","花仙子","市","11/19","52.4","+0.1","+0.19","10","6.32","6.32","33.1","42.5","24.2","","","","","","","化學工業","蔡心心","王佳郁"
="1731","美吾華","市","11/19","21.75","0","0","10","13.3","13.29","28.9","49.1","24.2","","","","有","","","生技醫療業","李成家","賴育儒"
="1732","毛寶","市","11/19","28.65","+0.05","+0.17","10","4.24","4.24","12.2","47","26","","","","","","","化學工業","吳瑞華","陳逸弘"
="1733","五鼎","市","11/19","30.1","-0.2","-0.66","10","10","10","30.1","28","24.2","","","","","","","生技醫療業","沈燕士","沈燕士"
="1734","杏輝","市","11/19","30.35","+0.3","+1","10","19","19.02","57.7","48.4","25.1","","","","","","","生技醫療業","李志文","白友烺"
="1735","日勝化","市","11/19","14.3","-0.3","-2.05","10","9.94","9.94","14.2","36.5","25.1","","","","","","","化學工業","何文杰","黃長澤"
="1736","喬山","市","11/19","144.5","-1","-0.69","10","30.3","30.34","438","50.1","22.9","","","有","有","","","運動休閒","羅崑泉","羅光廷"
="1737","臺鹽","市","11/19","31.55","-0.05","-0.16","10","20","20","63.1","30.4","22","","","","","","","食品工業","丁彥哲","李杰翰"
="1752","南光","市","11/19","38.15","-0.3","-0.78","10","10.1","10.1","38.5","52.3","16.3","","","","","","","生技醫療業","陳立賢","王玉杯"
="1760","寶齡富錦","市","11/19","65.2","+0.2","+0.31","10","8.57","8.57","55.9","49.9","7.82","","","","","","","生技醫療業","張立秋","江宗明"
="1762","中化生","市","11/19","24.3","-0.15","-0.61","10","7.69","7.69","18.7","61.5","14.9","","","","","","","生技醫療業","王謝怡貞","蕭文郁"
="1773","勝一","市","11/19","132","-1.5","-1.12","10","30","30","396","46.8","16.7","","","有","","","","化學工業","孫靜源","孫啟發"
="1776","展宇","市","11/19","15.05","+0.05","+0.33","10","6.01","6.01","9.05","49.6","9.53","","","","","","","化學工業","劉漢瀛","趙偉君"
="1783","和康生","市","11/19","42.7","+0.15","+0.35","10","8.97","8.97","38.3","27","11.9","","","","","有","","生技醫療業","林詠翔","陳敬亭"
="1786","科妍","市","11/19","76.2","+0.2","+0.26","10","7.22","7.22","55","24","12","","","有","有","","","生技醫療業","韓開程","韓台賢"
="1789","神隆","市","11/19","17","0","0","10","79.1","79.07","134","28","14.1","","","","","","","生技醫療業","羅智先","盧麗安"
="1795","美時","市","11/19","282","-1","-0.35","10","26.7","26.7","753","59.4","15.8","有","","有","","","","生技醫療業","Vilhelm Robert Wessman","Petar Antonov Vazharov"
="1802","台玻","市","11/19","31.15","+0.35","+1.14","10","291","290.8","906","61.2","52.3","有","","有","","","","玻璃陶瓷","林伯豐","林伯實"
="1805","寶徠","市","11/19","12.1","-0.1","-0.82","10","13.5","13.5","16.3","47.4","36.1","","","","","","","建材營造業","林瑞山","林瑞山"
="1806","冠軍","市","11/19","8.72","-0.09","-1.02","10","39","39.04","34","53","33.1","","","","","","","玻璃陶瓷","林榮德","林祐宇"
="1809","中釉","市","11/19","17.4","-0.15","-0.85","10","16.7","16.7","29.1","51","29.6","","","","","","","玻璃陶瓷","蔡憲龍","蔡松祐"
="1810","和成","市","11/19","16.7","+0.2","+1.21","10","30.2","30.23","50.5","62.6","34.1","","","","","","","玻璃陶瓷","邱立堅","陳世傑"
="1817","凱撒衛","市","11/19","38.45","-0.4","-1.03","10","7.26","7.26","27.9","37.8","12.1","","","","","","","玻璃陶瓷","蕭俊祥","陳威志"
="1903","士紙","市","11/19","53.6","-0.7","-1.29","10","26","26","139","66.2","61.9","","","有","","","","造紙工業","臺實貿易股份有限公司","闕啟文"
="1904","正隆","市","11/19","17.8","-0.2","-1.11","10","111","110.8","197","66.8","54.2","有","","","","","","造紙工業","鄭人銘","張清標"
="1905","華紙","市","11/19","11.65","-0.3","-2.51","10","110","110.3","128","57.4","50.8","有","","","","","","造紙工業","黃鯤雄","陳瑞和"
="1906","寶隆","市","11/19","11.95","-0.55","-4.4","10","15.1","15.1","18","60.5","49.6","","","","","","","造紙工業","李殷佳","田哲森"
="1907","永豐餘","市","11/19","26.7","-0.3","-1.11","10","166","166","443","75.7","48.7","有","","","","","","造紙工業","葉惠青","駱秉正"
="1909","榮成","市","11/19","10.1","-0.05","-0.49","10","133","132.8","134","47.7","40","有","","","有","","","造紙工業","鄭瑛彬","松村浩、吳國禎"
="2002","中鋼","市","11/19","17.7","-0.05","-0.28","10","1,577","1,573","2,785","54","50.9","有","有","有","有","","有","鋼鐵工業","黃建智","陳守道"
"2002A","中鋼特","市","11/19","38.65","-0.05","-0.13","","","3.83","14.8","","50.9","","","","","","","鋼鐵工業","",""
="2006","東和鋼鐵","市","11/19","59.5","-0.3","-0.5","10","73","73.02","434","63.5","37.4","有","","","有","","","鋼鐵工業","侯傑騰","黃炳樺"
="2007","燁興","市","11/19","7.02","-0.05","-0.71","10","53.1","53.07","37.3","47.3","37.1","","","","","有","","鋼鐵工業","吳林茂","黃傳祥"
="2008","高興昌","市","11/19","27.8","+0.05","+0.18","10","19.1","19.09","53.1","59.8","36.9","","","","","","","鋼鐵工業","呂泰榮","勝呂榮峰"
="2009","第一銅","市","11/19","37.4","-0.85","-2.22","10","36","35.96","134","56.3","36.1","","","有","","","","鋼鐵工業","王宏仁","洪茂陽"
="2010","春源","市","11/19","19.6","-0.25","-1.26","10","64.8","64.77","127","59.9","35.9","","","","","","","鋼鐵工業","蔡錫儀","洪士民"
="2012","春雨","市","11/19","15.2","-0.1","-0.65","10","30.2","30.22","45.9","60.7","34.1","","","","","","","鋼鐵工業","陳其泰","吳居諺"
="2013","中鋼構","市","11/19","41.2","+0.9","+2.23","10","20","20","82.4","47.7","33.8","","","","","","","鋼鐵工業","陳瑞騰","黃源章"
="2014","中鴻","市","11/19","14.05","-0.2","-1.4","10","144","143.6","202","42.1","33.7","有","","有","有","","","鋼鐵工業","朱敏","王輔良"
="2015","豐興","市","11/19","60.7","-0.6","-0.98","10","58.2","58.16","353","56.9","33.5","","","","","","","鋼鐵工業","林大鈞","林永源"
="2017","官田鋼","市","11/19","8.39","-0.17","-1.99","10","44.7","44.69","37.5","52.3","33","","","","","","","鋼鐵工業","汪振澤","謝政成"
="2020","美亞","市","11/19","22.4","-0.05","-0.22","10","26.7","26.7","59.8","66.1","32.6","","","","","","","鋼鐵工業","黃春發","蕭敏志"
="2022","聚亨","市","11/19","7.88","-0.12","-1.5","10","33.7","33.72","26.6","45","30.7","","","","有","","","鋼鐵工業","黃文松","呂艷娟"
="2023","燁輝","市","11/19","14.65","0","0","10","193","192.6","282","47.6","30.3","","","","","","","鋼鐵工業","林義守","張振武"
="2024","志聯","市","11/19","16.85","-0.05","-0.3","10","9.75","9.75","16.4","52.2","29.9","","","","","","","鋼鐵工業","潘仲良","林信安(代理)"
="2025","千興","市","11/19","9.07","0","0","10","17.3","17.27","15.7","53.5","29.8","","","","","","","鋼鐵工業","魏福全","邱麗雲"
="2027","大成鋼","市","11/19","35.05","-1.85","-5.01","10","258","258.4","906","39","29.1","有","","有","","","","鋼鐵工業","謝麗雲","謝榮坤"
="2028","威致","市","11/19","15.5","-0.05","-0.32","10","32.6","32.57","50.5","43.1","28.9","","","","","","","鋼鐵工業","郭素惠","郭素惠"
="2029","盛餘","市","11/19","20.05","0","0","10","32.1","32.12","64.4","52.5","28.9","","","","","","","鋼鐵工業","樽宮浩一","洪世強"
="2030","彰源","市","11/19","13.85","0","0","10","28.1","28.05","38.9","41.1","26.9","","","","","","","鋼鐵工業","張炳耀","張炳耀"
="2031","新光鋼","市","11/19","36.1","-0.65","-1.77","10","32.1","32.11","116","58.9","25.2","","","有","","","","鋼鐵工業","粟明德","曾明山"
="2032","新鋼","市","11/19","13.75","-0.05","-0.36","10","13.1","13.05","17.9","54.4","25.2","","","","","","","鋼鐵工業","蔡政廷","成主賜"
="2033","佳大","市","11/19","15.45","-0.05","-0.32","10","8.07","8.07","12.5","52.6","25.2","","","","","","","鋼鐵工業","吳大和","陳正平"
="2034","允強","市","11/19","18.9","-0.5","-2.58","10","52.4","52.35","99","52.8","26.1","","","有","有","","","鋼鐵工業","張金鈺","張金鈺"
="2038","海光","市","11/19","13.3","-0.1","-0.75","10","19.4","19.41","25.8","56.7","16.9","","","","","","","鋼鐵工業","黃韋翰","黃燦明"
="2049","上銀","市","11/19","186.5","0","0","10","35.4","35.38","660","36.1","16.4","有","","有","","","","電機機械","卓文恒","蔡惠卿"
="2059","川湖","市","11/19","3575","+25","+0.7","10","9.53","9.53","3,407","39.2","20.6","有","","有","","","","電子零組件業","林聰吉","林淑珍"
="2062","橋椿","市","11/19","19.75","+0.05","+0.25","10","20","20","39.5","41.4","18","","","","","","","居家生活","楊慶祺","楊慶祺"
="2069","運錩","市","11/19","15.65","-0.2","-1.26","10","16.6","16.64","26","38.3","9.66","","","","","","","鋼鐵工業","顏德和","顏德和"
="2101","南港","市","11/19","36.2","+0.25","+0.7","10","73.4","73.39","266","66.7","62.1","","","有","有","","","橡膠工業","郭林諒","林君穎"
="2102","泰豐","市","11/19","19.15","-0.35","-1.79","10","47.3","47.33","90.6","70","46.3","","","","","","","橡膠工業","郭林諒","鍾政諺"
="2103","台橡","市","11/19","13.8","-0.3","-2.13","10","82.6","82.57","114","52","43.2","","","","","","","橡膠工業","殷琪","蔡偉強"
="2104","國際中橡","市","11/19","9.46","-0.26","-2.67","10","98.5","98.47","93.2","52.4","39.4","","","","有","","","橡膠工業","辜公怡","李超儒"
="2105","正新","市","11/19","32.4","+0.75","+2.37","10","324","324.1","1,050","55.9","38","有","","有","有","","","橡膠工業","陳榮華","李進昌"
="2106","建大","市","11/19","20.15","-0.1","-0.49","10","95.5","95.49","192","63.6","34.9","","","","","","","橡膠工業","楊啓仁","林建良"
="2107","厚生","市","11/19","23.4","-0.2","-0.85","10","30.4","30.36","71","62.8","33.7","","","","","","","橡膠工業","徐正材","徐正己"
="2108","南帝","市","11/19","22","0","0","10","49.2","49.24","108","46.9","33.1","","","","","","","橡膠工業","楊東源","許建祝"
="2109","華豐","市","11/19","15.25","+0.05","+0.33","10","27.9","27.93","42.6","66.5","27.5","","","","","","","橡膠工業","沈國榮","王嶠奇"
="2114","鑫永銓","市","11/19","90","-0.2","-0.22","10","7.8","7.8","70.2","56.2","19.1","","","","","","","橡膠工業","張惠寬","林季佑"
="2115","六暉-KY","市","11/19","25","-0.7","-2.72","10","10.4","10.44","26.1","16.1","11.9","","","","","","","汽車工業","吳金鹿","許秀華"
="2201","裕隆","市","11/19","36.2","-0.9","-2.43","10","107","107","387","72.2","49.4","有","","有","有","","","汽車工業","嚴陳莉蓮","許國興"
="2204","中華","市","11/19","57.6","0","0","10","55.4","55.36","319","56.4","34.7","","","有","","","","汽車工業","嚴陳莉蓮","曾鑫城"
="2206","三陽工業","市","11/19","61","-0.2","-0.33","10","79.2","79.18","483","64.2","29.3","","","","","","","汽車工業","吳清源","吳清源"
="2207","和泰車","市","11/19","600","+7","+1.18","10","55.7","55.71","3,343","70.6","28.7","","","","","","","汽車工業","黃南光","蘇純興"
="2208","台船","市","11/19","19.1","0","0","10","127","127.4","243","52","16.9","","","","有","有","","航運業","陳政宏","蔡坤宗"
="2211","長榮鋼","市","11/19","108","-2","-1.82","10","41.7","41.71","450","52.8","4.61","","","有","","","","鋼鐵工業","林耿立","劉邦恩"
="2227","裕日車","市","11/19","55.3","+0.3","+0.55","10","30","30","166","22.1","20.9","","","","","","","汽車工業","嚴陳莉蓮","姚振祥"
="2228","劍麟","市","11/19","90.5","-0.3","-0.33","10","7.95","7.95","72","48.6","12","","","有","有","","","汽車工業","黃正怡","黃正忠"
="2231","為升","市","11/19","96","+1.8","+1.91","10","13.6","13.59","130","36.9","16.7","有","","有","","","","汽車工業","黃淑媛","尤山泉"
="2233","宇隆","市","11/19","194.5","+10","+5.42","10","6.03","6.03","117","37.9","14","","","有","","","","汽車工業","劉俊昌","蔡銘東"
="2236","百達-KY","市","11/19","94.1","+5.3","+5.97","10","5.36","5.35","50.4","14.4","10.5","","","","有","","","汽車工業","黃亮茳","黃泓杰"
="2239","英利-KY","市","11/19","28.9","+0.2","+0.7","10","12","12.03","34.8","10.8","9.81","","","","","","","汽車工業","林上煒","林上琦"
="2241","艾姆勒","市","11/19","35.15","-2.6","-6.89","10","10.5","10.46","36.8","14.4","5.23","","","","","","","汽車工業","林啟聖","石志鴻"
="2243","宏旭-KY","市","11/19","10.75","0","0","10","6.94","6.94","7.46","10.7","8.15","","","","有","","","汽車工業","林維源","陳廣瑞(代理)"
="2247","汎德永業","市","11/19","285","+1","+0.35","10","8.07","8.07","230","46","5.11","","","","有","","","汽車工業","唐慕蓮","杜黃旭"
="2248","華勝-KY","市","11/19","50","+0.05","+0.1","10","4.76","4.76","23.8","8.6","0.69","","","","","","","汽車工業","陳鏗勝","陳鏗勝"
="2250","IKKA-KY","市","11/19","74.1","+0.1","+0.14","10","3.64","3.64","27","9.6","4.47","","","","有","","","汽車工業","胡湘麒","小原正美"
="2254","巨鎧精密-創","市","11/19","58.8","+0.2","+0.34","10","6.39","6.39","37.6","12.2","2.09","","","","","","","汽車工業","吳柏樺","吳柏樺/吳志彬"
="2258","鴻華先進-創","市","11/19","40.15","+0.75","+1.9","10","174","174.1","699","5","2","","","","","","","汽車工業","李秉彥","陳清亞"
="2301","光寶科","市","11/19","153.5","-1","-0.65","10","232","231.7","3,556","36.7","30","有","","有","","","","電腦及週邊設備業","宋明峰","邱森彬"
="2302","麗正","市","11/19","18.25","-0.4","-2.14","10","16.6","16.63","30.4","49.8","40.8","","","","","","","半導體業","林文騰","林文騰"
="2303","聯電","市","11/19","44.35","+0.15","+0.34","10","1,256","1,256","5,568","45.5","40.3","有","有","有","有","","","半導體業","洪嘉聰","簡山傑、王石"
="2305","全友","市","11/19","10.25","-0.2","-1.91","10","20.6","20.57","21.1","45.1","37.1","","","","","","","電腦及週邊設備業","吳金來","謝靜慧"
="2308","台達電","市","11/19","894","-4","-0.45","10","260","259.8","23,222","50.3","36.9","有","","有","有","","","電子零組件業","鄭平","張訓海"
="2312","金寶","市","11/19","22","+0.95","+4.51","10","150","150.5","331","52.6","36","有","","有","","","","其他電子業","許介立","陳威昌"
="2313","華通","市","11/19","77.3","-0.7","-0.9","10","119","119.2","921","52.2","35.3","有","","有","","","","電子零組件業","江培琨","江培琨"
="2314","台揚","市","11/19","21.6","+0.1","+0.47","10","10.6","10.61","22.9","42.6","35.3","","","","","","","通信網路業","謝其嘉","吳永欽"
="2316","楠梓電","市","11/19","88.9","-0.3","-0.34","10","18.3","18.27","162","47.6","34.8","","","有","","","","電子零組件業","徐漢忠","陳志康"
="2317","鴻海","市","11/19","229","-1","-0.43","10","1,396","1,396","31,978","51.7","34.4","有","有","有","有","","","其他電子業","劉揚偉","劉揚偉"
="2321","東訊","市","11/19","17","-0.35","-2.02","10","3.03","3.03","5.15","45.2","34","","","","","","有","通信網路業","吳素秋","田瑛睿"
